Country,launched_at,Categories,Prct_goal
USA,13/3/04,technology,217.76
USA,12/5/21,publishing,0
USA,16/10/20,technology,25.89
USA,14/8/08,photography,0
USA,15/5/12,art,49
USA,13/4/08,design,523.35
USA,14/9/30,design,120.26
USA,12/3/30,technology,8.78
USA,12/2/15,publishing,2.58
USA,12/9/24,art,16.21
USA,15/3/31,technology,0.03
USA,17/1/18,technology,296.4
USA,16/9/13,technology,7.34
USA,15/1/05,technology,18.38
USA,17/9/05,publishing,0
USA,14/3/06,technology,19.35
USA,15/5/07,publishing,47.15
USA,16/11/07,technology,0
USA,16/5/16,technology,59.1
USA,11/12/30,music,100.72
USA,16/6/28,technology,44.22
USA,16/2/03,photography,0
USA,17/8/29,fashion,5
USA,16/7/28,technology,0.06
USA,12/5/17,publishing,47.8
USA,13/5/21,publishing,382.75
USA,16/11/01,games,113.84
USA,16/10/21,technology,435
USA,12/8/15,publishing,9.4
USA,14/12/08,music,0
USA,14/3/10,publishing,101
USA,14/2/13,art,484.44
USA,15/7/14,film and video,121.5
USA,14/12/08,technology,0.25
USA,11/8/08,music,143.75
USA,15/11/14,film and video,0
USA,13/7/12,film and video,0.01
USA,14/3/07,publishing,206.1
USA,14/8/04,technology,0.01
USA,16/11/23,technology,116.19
USA,14/8/07,publishing,17.86
USA,17/2/28,music,0
USA,12/10/01,publishing,47.1
USA,12/10/10,music,100
USA,14/3/23,publishing,0.01
USA,13/10/18,publishing,76.76
USA,14/10/06,technology,0.54
USA,16/7/20,music,205.12
USA,16/8/10,art,0
USA,13/3/25,technology,190.5
USA,17/4/13,technology,784.55
USA,14/7/01,music,107.67
USA,16/4/02,journalism,0.06
USA,15/4/06,art,10
USA,9/10/22,music,1.38
USA,15/3/04,technology,0
USA,11/7/03,music,196.2
USA,17/2/08,technology,22.33
USA,15/3/13,technology,129.2
USA,17/9/01,comics,90.97
USA,16/9/19,publishing,120.6
USA,13/2/19,music,100
USA,15/2/16,theater,7.4
USA,13/3/18,publishing,37.84
USA,13/9/17,technology,2.25
USA,16/2/29,journalism,0.07
