"","subregion","region","TotalBackers","MeanBackers","MedianBackers","MeanUSD","TotalUSD","MedianUSD"
"491","lee","florida",2744,27.7171717171717,4,1502.89595959596,148786.7,90
"492","lee","iowa",4,2,2,22.5,45,22.5
"493","lee","mississippi",226,16.1428571428571,7.5,1409.72214285714,19736.11,338.5
"494","lehigh","pennsylvania",2659,35.4533333333333,5,3391.5644,254367.33,192
"495","lenawee","michigan",44,7.33333333333333,1.5,166.166666666667,997,35
"496","lenoir","north carolina",3,1.5,1.5,22.5,45,22.5
"497","leon","florida",6694,38.2514285714286,4,2158.38217142857,377716.88,121
"498","lewis","washington",182,20.2222222222222,7,1611.12444444444,14500.12,507
"499","lewis and clark","montana",694,36.5263157894737,18,2110,40090,615
"500","lexington","south carolina",83,11.8571428571429,1,803.252857142857,5622.77,45
"501","liberty","georgia",4,1,0,25.75,103,0
"502","licking","ohio",40,13.3333333333333,3,2766.66666666667,8300,570
"503","lincoln","louisiana",55,13.75,14,543.1875,2172.75,336.375
"504","lincoln","maine",75,75,75,3216,3216,3216
"505","lincoln","mississippi",132,26.4,24,1936.4,9682,1050
"506","lincoln","nebraska",8,1.6,2,52.8,264,51
"507","lincoln","new mexico",178,59.3333333333333,78,2271.33333333333,6814,3078
"508","lincoln","north carolina",16,16,16,8500,8500,8500
"509","lincoln","wisconsin",0,0,0,0,0,0
"510","linn","iowa",1862,35.1320754716981,16,2382.15132075472,126254.02,647
"511","litchfield","connecticut",2643,125.857142857143,5,29686.1252380952,623408.63,450
"512","livingston","louisiana",8,2.66666666666667,2,412.333333333333,1237,111
"513","livingston","michigan",613,36.0588235294118,8,1962.91058823529,33369.48,500
"514","logan","oklahoma",156,31.2,48,1580.6,7903,1140
"515","lonoke","arkansas",53,17.6666666666667,17,1053.33333333333,3160,1525
"516","lorain","ohio",4013,50.7974683544304,8,3654.59316455696,288712.86,216
"517","los alamos","new mexico",316,39.5,17.5,3485,27880,998
"518","los angeles","california",1400042,192.737059471366,24,14925.1520250551,108416304.31,1456
"519","loudon","tennessee",59,19.6666666666667,2,782.243333333333,2346.73,35
"520","loudoun","virginia",3168,113.142857142857,8,6269.07142857143,175534,259
"521","lowndes","georgia",133,8.3125,4,415.355625,6645.69,95.5
"522","lubbock","texas",996,19.1538461538462,6.5,1753.49846153846,91181.92,305
"523","lucas","ohio",5354,39.0802919708029,5,1967.73810218978,269580.12,170
"524","luna","new mexico",0,0,0,0,0,0
"525","luzerne","pennsylvania",314,12.0769230769231,4,994.872692307692,25866.69,238
"526","lycoming","pennsylvania",215,9.34782608695652,2,664.913043478261,15293,45
"527","lyon","kansas",2,0.4,0,4.4,22,0
"528","lyon","nevada",0,0,0,0,0,0
"529","macomb","michigan",616,16.6486486486486,1,849.513513513514,31432,20
"530","macon","illinois",2350,42.7272727272727,6,3080.50581818182,169427.82,202
"531","madera","california",2,1,1,18,36,18
"532","madison","alabama",5950,44.0740740740741,6,3023.16540740741,408127.33,220
"533","madison","idaho",830,28.6206896551724,13,1782.80206896552,51701.26,421
"534","madison","illinois",1628,54.2666666666667,2.5,7556.32666666667,226689.8,92.5
"535","madison","indiana",649,24.037037037037,6,1532.22222222222,41370,81
"536","madison","mississippi",5303,883.833333333333,148,52506.8333333333,315041,8397
"537","madison","new york",41,5.85714285714286,4,196.395714285714,1374.77,100
"538","mahoning","ohio",1023,17.3389830508475,4,1481.73,87422.07,105
"539","manatee","florida",3142,65.4583333333333,4,10256.5514583333,492314.47,108.5
"540","Manhattan","new york",52814,63.326139088729,17,7393.16057553957,6165895.92,1167.5
"541","manitowoc","wisconsin",141,28.2,15,1328.622,6643.11,1445
"542","marathon","wisconsin",9631,566.529411764706,4,26776.3529411765,455198,270
"543","maricopa","arizona",193701,121.824528301887,8,13281.3788238994,21117392.33,360
"544","marin","california",3919,89.0681818181818,34.5,18544.8459090909,815973.22,2928
"545","marinette","wisconsin",0,0,0,0,0,0
"546","marion","florida",280,5.71428571428571,3,365.938775510204,17931,30
"547","marion","indiana",51914,101.196881091618,6,8649.32528265107,4437103.87,260
"548","marion","iowa",2,2,2,20,20,20
"549","marion","missouri",63,21,6,3037.33333333333,9112,176
"550","marion","ohio",1522,69.1818181818182,5,1579.68181818182,34753,144.5
"551","marion","oregon",6932,48.1388888888889,10,4247.41590277778,611627.89,441.91
"552","marion","west virginia",560,46.6666666666667,5,4348.115,52177.38,123
"553","marquette","michigan",307,27.9090909090909,10,2129.64636363636,23426.11,618
"554","marshall","alabama",109,27.25,2.5,3064.875,12259.5,66.75
"555","marshall","iowa",179,44.75,48,3767,15068,1897
"556","marshall","tennessee",746,93.25,39,5953.125,47625,1695.5
"557","martin","florida",1034,39.7692307692308,13.5,4352.63653846154,113168.55,2447
